"","year","state","pop"
"3191",1958,"NV",269000
"3192",1959,"NV",279000
"3193",1960,"NV",291000
"3194",1961,"NV",315000
"3195",1962,"NV",352000
"3196",1963,"NV",397000
"3197",1964,"NV",426000
"3198",1965,"NV",444000
"3199",1966,"NV",446000
"3200",1967,"NV",449000
"3201",1968,"NV",464000
"3202",1969,"NV",480000
"3203",1970,"NV",488738
"3204",1971,"NV",520018
"3205",1972,"NV",546789
"3206",1973,"NV",568991
"3207",1974,"NV",596822
"3208",1975,"NV",619972
"3209",1976,"NV",646975
"3210",1977,"NV",678333
"3211",1978,"NV",719436
"3212",1979,"NV",765367
"3213",1980,"NV",810215
"3214",1981,"NV",847655
"3215",1982,"NV",881537
"3216",1983,"NV",901977
"3217",1984,"NV",924922
"3218",1985,"NV",951030
"3219",1986,"NV",980613
"3220",1987,"NV",1023376
"3221",1988,"NV",1075022
"3222",1989,"NV",1137382
"3223",1990,"NV",1218629
"3224",1991,"NV",1285046
"3225",1992,"NV",1330694
"3226",1993,"NV",1380197
"3227",1994,"NV",1456388
"3228",1995,"NV",1525777
"3229",1996,"NV",1596476
"3230",1997,"NV",1675581
"3231",1998,"NV",1743772
"3232",1999,"NV",1809253
"3233",2000,"NV",2018741
"3234",2001,"NV",2098399
"3235",2002,"NV",2173791
"3236",2003,"NV",2248850
"3237",2004,"NV",2346222
"3238",2005,"NV",2432143
"3239",2006,"NV",2522658
"3240",2007,"NV",2601072
"3241",2008,"NV",2653630
"3242",2009,"NV",2684665
"3243",2010,"NV",2703493
"3244",2011,"NV",2718586
"3245",2012,"NV",2755245
"3246",2013,"NV",2791494
"3247",2014,"NV",2839099
"3248",2015,"NV",2890845
"3249",1900,"NH",412000
"3250",1901,"NH",412000
"3251",1902,"NH",409000
"3252",1903,"NH",394000
"3253",1904,"NH",407000
"3254",1905,"NH",423000
"3255",1906,"NH",415000
"3256",1907,"NH",423000
"3257",1908,"NH",428000
"3258",1909,"NH",431000
"3259",1910,"NH",431000
"3260",1911,"NH",432000
"3261",1912,"NH",434000
"3262",1913,"NH",439000
"3263",1914,"NH",442000
"3264",1915,"NH",443000
"3265",1916,"NH",445000
"3266",1917,"NH",447000
"3267",1918,"NH",440000
"3268",1919,"NH",443000
"3269",1920,"NH",444000
"3270",1921,"NH",449000
"3271",1922,"NH",451000
"3272",1923,"NH",453000
"3273",1924,"NH",457000
"3274",1925,"NH",459000
"3275",1926,"NH",463000
"3276",1927,"NH",466000
"3277",1928,"NH",468000
"3278",1929,"NH",467000
"3279",1930,"NH",466000
"3280",1931,"NH",470000
"3281",1932,"NH",474000
"3282",1933,"NH",477000
"3283",1934,"NH",480000
"3284",1935,"NH",481000
"3285",1936,"NH",481000
"3286",1937,"NH",481000
"3287",1938,"NH",485000
"3288",1939,"NH",490000
"3289",1940,"NH",492000
"3290",1941,"NH",490000
"3291",1942,"NH",481000
"3292",1943,"NH",462000
"3293",1944,"NH",456000
"3294",1945,"NH",459000
"3295",1946,"NH",494000
"3296",1947,"NH",507000
"3297",1948,"NH",520000
"3298",1949,"NH",533000
"3299",1950,"NH",532000
"3300",1951,"NH",529000
"3301",1952,"NH",535000
"3302",1953,"NH",547000
"3303",1954,"NH",554000
"3304",1955,"NH",557000
"3305",1956,"NH",566000
"3306",1957,"NH",572000
"3307",1958,"NH",581000
"3308",1959,"NH",596000
"3309",1960,"NH",609000
"3310",1961,"NH",618000
"3311",1962,"NH",632000
"3312",1963,"NH",649000
"3313",1964,"NH",663000
"3314",1965,"NH",676000
"3315",1966,"NH",681000
"3316",1967,"NH",697000
"3317",1968,"NH",709000
"3318",1969,"NH",724000
"3319",1970,"NH",737681
"3320",1971,"NH",761851
"3321",1972,"NH",781107
"3322",1973,"NH",800951
"3323",1974,"NH",815914
"3324",1975,"NH",828555
"3325",1976,"NH",845248
"3326",1977,"NH",869763
"3327",1978,"NH",891520
"3328",1979,"NH",909074
"3329",1980,"NH",924250
"3330",1981,"NH",936621
"3331",1982,"NH",947719
"3332",1983,"NH",958134
"3333",1984,"NH",976864
"3334",1985,"NH",996753
"3335",1986,"NH",1025053
"3336",1987,"NH",1054289
"3337",1988,"NH",1082577
"3338",1989,"NH",1104522
"3339",1990,"NH",1111831
"3340",1991,"NH",1107055
"3341",1992,"NH",1112766
"3342",1993,"NH",1122191
"3343",1994,"NH",1133054
"3344",1995,"NH",1145604
"3345",1996,"NH",1160768
"3346",1997,"NH",1173239
"3347",1998,"NH",1185823
"3348",1999,"NH",1201134
"3349",2000,"NH",1239882
"3350",2001,"NH",1255517
"3351",2002,"NH",1269089
"3352",2003,"NH",1279840
"3353",2004,"NH",1290121
"3354",2005,"NH",1298492
"3355",2006,"NH",1308389
"3356",2007,"NH",1312540
"3357",2008,"NH",1315906
"3358",2009,"NH",1316102
"3359",2010,"NH",1316517
"3360",2011,"NH",1318109
"3361",2012,"NH",1321297
"3362",2013,"NH",1322616
"3363",2014,"NH",1326813
"3364",2015,"NH",1330608
"3365",1900,"NJ",1884000
"3366",1901,"NJ",1889000
"3367",1902,"NJ",1917000
"3368",1903,"NJ",1969000
"3369",1904,"NJ",2050000
"3370",1905,"NJ",2151000
"3371",1906,"NJ",2239000
"3372",1907,"NJ",2314000
"3373",1908,"NJ",2403000
"3374",1909,"NJ",2487000
"3375",1910,"NJ",2550000
"3376",1911,"NJ",2610000
"3377",1912,"NJ",2670000
"3378",1913,"NJ",2729000
"3379",1914,"NJ",2789000
"3380",1915,"NJ",2850000
"3381",1916,"NJ",2918000
"3382",1917,"NJ",2976000
"3383",1918,"NJ",3043000
"3384",1919,"NJ",3136000
"3385",1920,"NJ",3198000
"3386",1921,"NJ",3297000
"3387",1922,"NJ",3380000
"3388",1923,"NJ",3472000
"3389",1924,"NJ",3573000
"3390",1925,"NJ",3664000
"3391",1926,"NJ",3758000
"3392",1927,"NJ",3891000
"3393",1928,"NJ",3968000
"3394",1929,"NJ",3989000
"3395",1930,"NJ",4068000
"3396",1931,"NJ",4120000
"3397",1932,"NJ",4120000
"3398",1933,"NJ",4107000
"3399",1934,"NJ",4089000
"3400",1935,"NJ",4085000
"3401",1936,"NJ",4084000
"3402",1937,"NJ",4088000
"3403",1938,"NJ",4100000
"3404",1939,"NJ",4129000
"3405",1940,"NJ",4175000
"3406",1941,"NJ",4254000
"3407",1942,"NJ",4297000
"3408",1943,"NJ",4226000
"3409",1944,"NJ",4158000
"3410",1945,"NJ",4108000
"3411",1946,"NJ",4492000
"3412",1947,"NJ",4618000
"3413",1948,"NJ",4774000
"3414",1949,"NJ",4889000
"3415",1950,"NJ",4872000
"3416",1951,"NJ",5006000
"3417",1952,"NJ",5125000
"3418",1953,"NJ",5229000
"3419",1954,"NJ",5360000
"3420",1955,"NJ",5502000
"3421",1956,"NJ",5615000
"3422",1957,"NJ",5737000
"3423",1958,"NJ",5890000
"3424",1959,"NJ",6015000
"3425",1960,"NJ",6103000
"3426",1961,"NJ",6265000
"3427",1962,"NJ",6376000
"3428",1963,"NJ",6531000
"3429",1964,"NJ",6660000
"3430",1965,"NJ",6767000
"3431",1966,"NJ",6851000
"3432",1967,"NJ",6928000
"3433",1968,"NJ",7005000
"3434",1969,"NJ",7095000
"3435",1970,"NJ",7171112
"3436",1971,"NJ",7281107
"3437",1972,"NJ",7335042
"3438",1973,"NJ",7333083
"3439",1974,"NJ",7332411
"3440",1975,"NJ",7337765
"3441",1976,"NJ",7339745
"3442",1977,"NJ",7337169
"3443",1978,"NJ",7350804
"3444",1979,"NJ",7366512
"3445",1980,"NJ",7376330
"3446",1981,"NJ",7407472
"3447",1982,"NJ",7430968
"3448",1983,"NJ",7467785
"3449",1984,"NJ",7515473
"3450",1985,"NJ",7565528
"3451",1986,"NJ",7622159
"3452",1987,"NJ",7670742
"3453",1988,"NJ",7712333
"3454",1989,"NJ",7726089
"3455",1990,"NJ",7757158
"3456",1991,"NJ",7784269
"3457",1992,"NJ",7827770
"3458",1993,"NJ",7874891
"3459",1994,"NJ",7918796
"3460",1995,"NJ",7965523
"3461",1996,"NJ",8009624
"3462",1997,"NJ",8054178
"3463",1998,"NJ",8095542
"3464",1999,"NJ",8143412
"3465",2000,"NJ",8430621
"3466",2001,"NJ",8492671
"3467",2002,"NJ",8552643
"3468",2003,"NJ",8601402
"3469",2004,"NJ",8634561
"3470",2005,"NJ",8651974
"3471",2006,"NJ",8661679
"3472",2007,"NJ",8677885
"3473",2008,"NJ",8711090
"3474",2009,"NJ",8755602
"3475",2010,"NJ",8803580
"3476",2011,"NJ",8842614
"3477",2012,"NJ",8876000
"3478",2013,"NJ",8911502
"3479",2014,"NJ",8938175
"3480",2015,"NJ",8958013
"3481",1900,"NM",196000
"3482",1901,"NM",206000
"3483",1902,"NM",218000
"3484",1903,"NM",229000
"3485",1904,"NM",242000
"3486",1905,"NM",255000
"3487",1906,"NM",269000
"3488",1907,"NM",283000
"3489",1908,"NM",298000
"3490",1909,"NM",314000
"3491",1910,"NM",329000
"3492",1911,"NM",334000
"3493",1912,"NM",338000
"3494",1913,"NM",344000
"3495",1914,"NM",348000
"3496",1915,"NM",351000
"3497",1916,"NM",354000
"3498",1917,"NM",361000
"3499",1918,"NM",382000
"3500",1919,"NM",362000
"3501",1920,"NM",363000
"3502",1921,"NM",370000
"3503",1922,"NM",375000
"3504",1923,"NM",382000
"3505",1924,"NM",390000
"3506",1925,"NM",396000
"3507",1926,"NM",403000
"3508",1927,"NM",410000
"3509",1928,"NM",416000
"3510",1929,"NM",420000
"3511",1930,"NM",427000
"3512",1931,"NM",436000
"3513",1932,"NM",441000
"3514",1933,"NM",449000
"3515",1934,"NM",461000
"3516",1935,"NM",475000
"3517",1936,"NM",489000
"3518",1937,"NM",503000
"3519",1938,"NM",513000
"3520",1939,"NM",523000
"3521",1940,"NM",531000
"3522",1941,"NM",506000
"3523",1942,"NM",502000
"3524",1943,"NM",534000
"3525",1944,"NM",527000
"3526",1945,"NM",537000
"3527",1946,"NM",561000
"3528",1947,"NM",582000
"3529",1948,"NM",604000
"3530",1949,"NM",644000
"3531",1950,"NM",689000
"3532",1951,"NM",717000
"3533",1952,"NM",735000
"3534",1953,"NM",756000
"3535",1954,"NM",763000
"3536",1955,"NM",785000
"3537",1956,"NM",806000
"3538",1957,"NM",847000
"3539",1958,"NM",886000
"3540",1959,"NM",919000
"3541",1960,"NM",954000
"3542",1961,"NM",965000
"3543",1962,"NM",979000
"3544",1963,"NM",989000
"3545",1964,"NM",1006000
"3546",1965,"NM",1012000
"3547",1966,"NM",1007000
"3548",1967,"NM",1e+06
"3549",1968,"NM",994000
"3550",1969,"NM",1011000
"3551",1970,"NM",1017055
"3552",1971,"NM",1053737
"3553",1972,"NM",1078697
"3554",1973,"NM",1105529
"3555",1974,"NM",1131309
"3556",1975,"NM",1159944
"3557",1976,"NM",1189295
"3558",1977,"NM",1215720
"3559",1978,"NM",1238034
"3560",1979,"NM",1284722
"3561",1980,"NM",1309400
"3562",1981,"NM",1332748
"3563",1982,"NM",1363823
"3564",1983,"NM",1394361
"3565",1984,"NM",1416717
"3566",1985,"NM",1438361
"3567",1986,"NM",1462729
"3568",1987,"NM",1478520
"3569",1988,"NM",1490337
"3570",1989,"NM",1503901
"3571",1990,"NM",1519933
"3572",1991,"NM",1547115
"3573",1992,"NM",1580750
"3574",1993,"NM",1614937
"3575",1994,"NM",1653329
"3576",1995,"NM",1682417
"3577",1996,"NM",1706151
"3578",1997,"NM",1722939
"3579",1998,"NM",1733535
"3580",1999,"NM",1739844
"3581",2000,"NM",1821204
"3582",2001,"NM",1831690
"3583",2002,"NM",1855309
"3584",2003,"NM",1877574
"3585",2004,"NM",1903808
"3586",2005,"NM",1932274
"3587",2006,"NM",1962137
"3588",2007,"NM",1990070
"3589",2008,"NM",2010662
"3590",2009,"NM",2036802
"3591",2010,"NM",2064950
"3592",2011,"NM",2078407
"3593",2012,"NM",2084594
"3594",2013,"NM",2086895
"3595",2014,"NM",2085572
"3596",2015,"NM",2085109
"3597",1900,"NY",7283000
"3598",1901,"NY",7449000
"3599",1902,"NY",7612000
"3600",1903,"NY",7771000
"3601",1904,"NY",7927000
"3602",1905,"NY",8084000
"3603",1906,"NY",8289000
"3604",1907,"NY",8499000
"3605",1908,"NY",8714000
"3606",1909,"NY",8935000
"3607",1910,"NY",9137000
"3608",1911,"NY",9249000
"3609",1912,"NY",9361000
"3610",1913,"NY",9473000
"3611",1914,"NY",9585000
"3612",1915,"NY",9700000
"3613",1916,"NY",9848000
"3614",1917,"NY",9993000
"3615",1918,"NY",9936000
"3616",1919,"NY",10252000
"3617",1920,"NY",10282000
"3618",1921,"NY",10416000
"3619",1922,"NY",10589000
"3620",1923,"NY",10752000
"3621",1924,"NY",10953000
"3622",1925,"NY",11186000
"3623",1926,"NY",11257000
"3624",1927,"NY",11174000
"3625",1928,"NY",11599000
"3626",1929,"NY",12171000
"3627",1930,"NY",12647000
"3628",1931,"NY",12848000
"3629",1932,"NY",13001000
"3630",1933,"NY",13126000
"3631",1934,"NY",13253000
"3632",1935,"NY",13375000
"3633",1936,"NY",13481000
"3634",1937,"NY",13511000
"3635",1938,"NY",13512000
"3636",1939,"NY",13523000
"3637",1940,"NY",13456000
"3638",1941,"NY",13267000
"3639",1942,"NY",13002000
"3640",1943,"NY",12807000
"3641",1944,"NY",12628000
"3642",1945,"NY",12495000
"3643",1946,"NY",13398000
"3644",1947,"NY",13982000
"3645",1948,"NY",14497000
"3646",1949,"NY",14892000
"3647",1950,"NY",14865000
"3648",1951,"NY",14890000
"3649",1952,"NY",15192000
"3650",1953,"NY",15527000
"3651",1954,"NY",15814000
"3652",1955,"NY",15966000
"3653",1956,"NY",16112000
"3654",1957,"NY",16374000
"3655",1958,"NY",16601000
"3656",1959,"NY",16685000
"3657",1960,"NY",16838000
"3658",1961,"NY",17061000
"3659",1962,"NY",17301000
"3660",1963,"NY",17461000
"3661",1964,"NY",17589000
"3662",1965,"NY",17734000
"3663",1966,"NY",17843000
"3664",1967,"NY",17935000
"3665",1968,"NY",18051000
"3666",1969,"NY",18105000
"3667",1970,"NY",18241391
"3668",1971,"NY",18357982
"3669",1972,"NY",18339400
"3670",1973,"NY",18177063
"3671",1974,"NY",18049775
"3672",1975,"NY",18003485
"3673",1976,"NY",17940541
"3674",1977,"NY",17812602
"3675",1978,"NY",17680589
"3676",1979,"NY",17583838
"3677",1980,"NY",17566754
"3678",1981,"NY",17567734
"3679",1982,"NY",17589738
"3680",1983,"NY",17686905
"3681",1984,"NY",17745684
"3682",1985,"NY",17791672
"3683",1986,"NY",17833419
"3684",1987,"NY",17868848
"3685",1988,"NY",17941309
"3686",1989,"NY",17983086
"3687",1990,"NY",18002855
"3688",1991,"NY",18029532
"3689",1992,"NY",18082032
"3690",1993,"NY",18140894
"3691",1994,"NY",18156652
"3692",1995,"NY",18150928
"3693",1996,"NY",18143805
"3694",1997,"NY",18143184
"3695",1998,"NY",18159175
"3696",1999,"NY",18196601
"3697",2000,"NY",19001780
"3698",2001,"NY",19082838
"3699",2002,"NY",19137800
"3700",2003,"NY",19175939
"3701",2004,"NY",19171567
"3702",2005,"NY",19132610
"3703",2006,"NY",19104631
"3704",2007,"NY",19132335
"3705",2008,"NY",19212436
"3706",2009,"NY",19307066
"3707",2010,"NY",19400867
"3708",2011,"NY",19521745
"3709",2012,"NY",19607140
"3710",2013,"NY",19695680
"3711",2014,"NY",19746227
"3712",2015,"NY",19795791
"3713",1900,"NC",1897000
"3714",1901,"NC",1926000
"3715",1902,"NC",1956000
"3716",1903,"NC",1986000
"3717",1904,"NC",2017000
"3718",1905,"NC",2051000
"3719",1906,"NC",2077000
"3720",1907,"NC",2105000
"3721",1908,"NC",2142000
"3722",1909,"NC",2174000
"3723",1910,"NC",2221000
"3724",1911,"NC",2276000
"3725",1912,"NC",2313000
"3726",1913,"NC",2362000
"3727",1914,"NC",2421000
"3728",1915,"NC",2473000
"3729",1916,"NC",2513000
"3730",1917,"NC",2546000
"3731",1918,"NC",2522000
"3732",1919,"NC",2535000
"3733",1920,"NC",2588000
"3734",1921,"NC",2651000
"3735",1922,"NC",2700000
"3736",1923,"NC",2761000
"3737",1924,"NC",2830000
"3738",1925,"NC",2895000
"3739",1926,"NC",2959000
"3740",1927,"NC",3027000
"3741",1928,"NC",3082000
"3742",1929,"NC",3133000
"3743",1930,"NC",3167000
"3744",1931,"NC",3184000
"3745",1932,"NC",3227000
"3746",1933,"NC",3268000
"3747",1934,"NC",3304000
"3748",1935,"NC",3323000
"3749",1936,"NC",3346000
"3750",1937,"NC",3385000
"3751",1938,"NC",3440000
"3752",1939,"NC",3514000
"3753",1940,"NC",3574000
"3754",1941,"NC",3589000
"3755",1942,"NC",3569000
"3756",1943,"NC",3654000
"3757",1944,"NC",3560000
"3758",1945,"NC",3533000
"3759",1946,"NC",3706000
"3760",1947,"NC",3769000
"3761",1948,"NC",3837000
"3762",1949,"NC",3911000
"3763",1950,"NC",4068000
"3764",1951,"NC",4120000
"3765",1952,"NC",4109000
"3766",1953,"NC",4120000
"3767",1954,"NC",4131000
"3768",1955,"NC",4242000
"3769",1956,"NC",4309000
"3770",1957,"NC",4368000
"3771",1958,"NC",4376000
"3772",1959,"NC",4458000
"3773",1960,"NC",4573000
"3774",1961,"NC",4663000
"3775",1962,"NC",4707000
"3776",1963,"NC",4742000
"3777",1964,"NC",4802000
"3778",1965,"NC",4863000
"3779",1966,"NC",4896000
"3780",1967,"NC",4952000
"3781",1968,"NC",5004000
"3782",1969,"NC",5031000
"3783",1970,"NC",5084411
"3784",1971,"NC",5203531
"3785",1972,"NC",5301150
"3786",1973,"NC",5389852
"3787",1974,"NC",5470911
"3788",1975,"NC",5547188
"3789",1976,"NC",5607964
"3790",1977,"NC",5685607
"3791",1978,"NC",5759492
"3792",1979,"NC",5823491
"3793",1980,"NC",5898980
"3794",1981,"NC",5956653
"3795",1982,"NC",6019101
"3796",1983,"NC",6077056
"3797",1984,"NC",6164006
"3798",1985,"NC",6253954
"3799",1986,"NC",6321578
"3800",1987,"NC",6403700
"3801",1988,"NC",6480594
"3802",1989,"NC",6565459
"3803",1990,"NC",6656987
"3804",1991,"NC",6748135
"3805",1992,"NC",6831850
"3806",1993,"NC",6947412
"3807",1994,"NC",7060959
"3808",1995,"NC",7185403
"3809",1996,"NC",7307658
"3810",1997,"NC",7428672
"3811",1998,"NC",7545828
"3812",1999,"NC",7650789
"3813",2000,"NC",8081614
"3814",2001,"NC",8210122
"3815",2002,"NC",8326201
"3816",2003,"NC",8422501
"3817",2004,"NC",8553152
"3818",2005,"NC",8705407
"3819",2006,"NC",8917270
"3820",2007,"NC",9118037
"3821",2008,"NC",9309449
"3822",2009,"NC",9449566
"3823",2010,"NC",9559488
"3824",2011,"NC",9651502
"3825",2012,"NC",9748181
"3826",2013,"NC",9848917
"3827",2014,"NC",9943964
"3828",2015,"NC",10042802
"3829",1900,"ND",321000
"3830",1901,"ND",346000
"3831",1902,"ND",371000
"3832",1903,"ND",396000
"3833",1904,"ND",421000
"3834",1905,"ND",446000
"3835",1906,"ND",474000
"3836",1907,"ND",501000
"3837",1908,"ND",528000
"3838",1909,"ND",555000
"3839",1910,"ND",580000
"3840",1911,"ND",584000
"3841",1912,"ND",603000
"3842",1913,"ND",609000
"3843",1914,"ND",620000
"3844",1915,"ND",641000
"3845",1916,"ND",652000
"3846",1917,"ND",661000
"3847",1918,"ND",636000
"3848",1919,"ND",648000
"3849",1920,"ND",646000
"3850",1921,"ND",646000
"3851",1922,"ND",647000
"3852",1923,"ND",648000
"3853",1924,"ND",642000
"3854",1925,"ND",643000
"3855",1926,"ND",651000
"3856",1927,"ND",657000
"3857",1928,"ND",665000
"3858",1929,"ND",674000
"3859",1930,"ND",682000
"3860",1931,"ND",680000
"3861",1932,"ND",676000
"3862",1933,"ND",674000
"3863",1934,"ND",672000
"3864",1935,"ND",670000
"3865",1936,"ND",664000
"3866",1937,"ND",655000
"3867",1938,"ND",647000
"3868",1939,"ND",644000
"3869",1940,"ND",640000
"3870",1941,"ND",615000
"3871",1942,"ND",583000
"3872",1943,"ND",546000
"3873",1944,"ND",534000
"3874",1945,"ND",546000
"3875",1946,"ND",570000
"3876",1947,"ND",578000
"3877",1948,"ND",580000
"3878",1949,"ND",597000
"3879",1950,"ND",619000
"3880",1951,"ND",604000
"3881",1952,"ND",608000
"3882",1953,"ND",609000
"3883",1954,"ND",611000
"3884",1955,"ND",615000
"3885",1956,"ND",613000
"3886",1957,"ND",612000
"3887",1958,"ND",606000
"3888",1959,"ND",618000
"3889",1960,"ND",634000
"3890",1961,"ND",641000
"3891",1962,"ND",637000
"3892",1963,"ND",644000
"3893",1964,"ND",649000
"3894",1965,"ND",649000
"3895",1966,"ND",647000
"3896",1967,"ND",626000
"3897",1968,"ND",621000
"3898",1969,"ND",621000
"3899",1970,"ND",617792
"3900",1971,"ND",626760
"3901",1972,"ND",631119
"3902",1973,"ND",632675
"3903",1974,"ND",634559
"3904",1975,"ND",638886
"3905",1976,"ND",645797
"3906",1977,"ND",649769
"3907",1978,"ND",651301
"3908",1979,"ND",652896
"3909",1980,"ND",654380
"3910",1981,"ND",659505
"3911",1982,"ND",668972
"3912",1983,"ND",676688
"3913",1984,"ND",680497
"3914",1985,"ND",676980
"3915",1986,"ND",669512
"3916",1987,"ND",661136
"3917",1988,"ND",655331
"3918",1989,"ND",646351
"3919",1990,"ND",637364
"3920",1991,"ND",634199
"3921",1992,"ND",635427
"3922",1993,"ND",637229
"3923",1994,"ND",639762
"3924",1995,"ND",641548
"3925",1996,"ND",642858
"3926",1997,"ND",640945
"3927",1998,"ND",637808
"3928",1999,"ND",633666
"3929",2000,"ND",642023
"3930",2001,"ND",639062
"3931",2002,"ND",638168
"3932",2003,"ND",638817
"3933",2004,"ND",644705
"3934",2005,"ND",646089
"3935",2006,"ND",649422
"3936",2007,"ND",652822
"3937",2008,"ND",657569
"3938",2009,"ND",664968
"3939",2010,"ND",674345
"3940",2011,"ND",685242
"3941",2012,"ND",701705
"3942",2013,"ND",723857
"3943",2014,"ND",739482
"3944",2015,"ND",756927
"3945",1900,"OH",4161000
"3946",1901,"OH",4216000
"3947",1902,"OH",4322000
"3948",1903,"OH",4386000
"3949",1904,"OH",4458000
"3950",1905,"OH",4530000
"3951",1906,"OH",4587000
"3952",1907,"OH",4630000
"3953",1908,"OH",4677000
"3954",1909,"OH",4701000
"3955",1910,"OH",4786000
"3956",1911,"OH",4821000
"3957",1912,"OH",4893000
"3958",1913,"OH",4997000
"3959",1914,"OH",5109000
"3960",1915,"OH",5251000
"3961",1916,"OH",5366000
"3962",1917,"OH",5510000
"3963",1918,"OH",5547000
"3964",1919,"OH",5683000
"3965",1920,"OH",5799000
"3966",1921,"OH",5921000
"3967",1922,"OH",6054000
"3968",1923,"OH",6183000
"3969",1924,"OH",6319000
"3970",1925,"OH",6434000
"3971",1926,"OH",6504000
"3972",1927,"OH",6577000
"3973",1928,"OH",6608000
"3974",1929,"OH",6626000
"3975",1930,"OH",6662000
"3976",1931,"OH",6694000
"3977",1932,"OH",6717000
"3978",1933,"OH",6740000
"3979",1934,"OH",6751000
"3980",1935,"OH",6787000
"3981",1936,"OH",6801000
"3982",1937,"OH",6809000
"3983",1938,"OH",6837000
"3984",1939,"OH",6886000
"3985",1940,"OH",6929000
"3986",1941,"OH",6958000
"3987",1942,"OH",6969000
"3988",1943,"OH",6868000
"3989",1944,"OH",6918000
"3990",1945,"OH",6916000
"3991",1946,"OH",7512000
"3992",1947,"OH",7705000
"3993",1948,"OH",7876000
"3994",1949,"OH",7973000
"3995",1950,"OH",7980000
"3996",1951,"OH",8061000
"3997",1952,"OH",8275000
"3998",1953,"OH",8591000
"3999",1954,"OH",8873000
"4000",1955,"OH",9017000
"4001",1956,"OH",9207000
"4002",1957,"OH",9410000
"4003",1958,"OH",9599000
"4004",1959,"OH",9671000
"4005",1960,"OH",9734000
"4006",1961,"OH",9854000
"4007",1962,"OH",9929000
"4008",1963,"OH",9986000
"4009",1964,"OH",10080000
"4010",1965,"OH",10201000
"4011",1966,"OH",10330000
"4012",1967,"OH",10414000
"4013",1968,"OH",10516000
"4014",1969,"OH",10563000
"4015",1970,"OH",10657423
"4016",1971,"OH",10734818
"4017",1972,"OH",10746993
"4018",1973,"OH",10767314
"4019",1974,"OH",10765759
"4020",1975,"OH",10770425
"4021",1976,"OH",10752662
"4022",1977,"OH",10771394
"4023",1978,"OH",10795581
"4024",1979,"OH",10798298
"4025",1980,"OH",10800650
"4026",1981,"OH",10788330
"4027",1982,"OH",10757087
"4028",1983,"OH",10737632
"4029",1984,"OH",10737746
"4030",1985,"OH",10734926
"4031",1986,"OH",10730268
"4032",1987,"OH",10760090
"4033",1988,"OH",10798552
"4034",1989,"OH",10829217
"4035",1990,"OH",10861837
"4036",1991,"OH",10933683
"4037",1992,"OH",11007609
"4038",1993,"OH",11070385
"4039",1994,"OH",11111451
"4040",1995,"OH",11155493
"4041",1996,"OH",11187032
"4042",1997,"OH",11212498
"4043",1998,"OH",11237752
"4044",1999,"OH",11256654
"4045",2000,"OH",11363543
"4046",2001,"OH",11387404
"4047",2002,"OH",11407889
"4048",2003,"OH",11434788
"4049",2004,"OH",11452251
"4050",2005,"OH",11463320
"4051",2006,"OH",11481213
"4052",2007,"OH",11500468
"4053",2008,"OH",11515391
"4054",2009,"OH",11528896
"4055",2010,"OH",11540070
"4056",2011,"OH",11544757
"4057",2012,"OH",11550901
"4058",2013,"OH",11572005
"4059",2014,"OH",11594163
"4060",2015,"OH",11613423
"4061",1900,"OK",8e+05
"4062",1901,"OK",916000
"4063",1902,"OK",1027000
"4064",1903,"OK",1118000
"4065",1904,"OK",1200000
"4066",1905,"OK",1277000
"4067",1906,"OK",1349000
"4068",1907,"OK",1414000
"4069",1908,"OK",1498000
"4070",1909,"OK",1585000
"4071",1910,"OK",1671000
"4072",1911,"OK",1714000
"4073",1912,"OK",1737000
"4074",1913,"OK",1777000
"4075",1914,"OK",1824000
"4076",1915,"OK",1860000
"4077",1916,"OK",1907000
"4078",1917,"OK",1960000
"4079",1918,"OK",1969000
"4080",1919,"OK",2003000
"4081",1920,"OK",2055000
"4082",1921,"OK",2108000
"4083",1922,"OK",2140000
"4084",1923,"OK",2159000
"4085",1924,"OK",2179000
"4086",1925,"OK",2216000
"4087",1926,"OK",2256000
"4088",1927,"OK",2306000
"4089",1928,"OK",2344000
"4090",1929,"OK",2372000
"4091",1930,"OK",2401000
"4092",1931,"OK",2403000
"4093",1932,"OK",2394000
"4094",1933,"OK",2392000
"4095",1934,"OK",2391000
"4096",1935,"OK",2386000
"4097",1936,"OK",2365000
"4098",1937,"OK",2334000
"4099",1938,"OK",2324000
"4100",1939,"OK",2333000
"4101",1940,"OK",2325000
"4102",1941,"OK",2262000
"4103",1942,"OK",2215000
"4104",1943,"OK",2205000
"4105",1944,"OK",2043000
"4106",1945,"OK",2028000
"4107",1946,"OK",2128000
"4108",1947,"OK",2133000
"4109",1948,"OK",2089000
"4110",1949,"OK",2105000
"4111",1950,"OK",2229000
"4112",1951,"OK",2210000
"4113",1952,"OK",2219000
"4114",1953,"OK",2182000
"4115",1954,"OK",2209000
"4116",1955,"OK",2250000
"4117",1956,"OK",2273000
"4118",1957,"OK",2282000
"4119",1958,"OK",2267000
"4120",1959,"OK",2289000
"4121",1960,"OK",2336000
"4122",1961,"OK",2380000
"4123",1962,"OK",2427000
"4124",1963,"OK",2439000
"4125",1964,"OK",2446000
"4126",1965,"OK",2440000
"4127",1966,"OK",2454000
"4128",1967,"OK",2489000
"4129",1968,"OK",2503000
"4130",1969,"OK",2535000
"4131",1970,"OK",2559463
"4132",1971,"OK",2618601
"4133",1972,"OK",2658646
"4134",1973,"OK",2695931
